170032;DECAGRAM S.A.;0992813857001;ECUADOR;GERENTE GENERAL;2013-10-07; ;5;2013-10-15;14;998;;NEIRA CANTOS JORGE ENRIQUE
;;;;;;;;;;;;CHIRCULESCU SORIN HOREA
;;;;;;;;;;;;DISTRIBUIDORA FARMACEUTICA ECUATORIANA DIFARE S.A.
;;;;;;;;;;;;MACHUCA ZAMBRANO BERMAN MOISES
;;;;;;;;;;;;SYNLAB SOCIEDAD ANONIMA
;;;;;;;;;;;;ASOCIACION DE SERVICIOS DE LIMPIEZA COSTA CLEAN ASOCOSTACLEAN
;;;;;;;;;;;;VALANGO S.A.
;;;;;;;;;;;;RONQUILLO MURRIETA FERNANDO EDUARDO
;;;;;;;;;;;;PAZMIÑO RODRIGUEZ SHARETH LEONELA
;;;;;;;;;;;;MALAVE VIÑAN ALFREDO WILLIAM
;;;;;;;;;;;;SIMED S. A.
154531;GAVTRA CIA. LTDA.;1792009537001;ECUADOR;GERENTE GENERAL;2019-12-16; ;2;2019-12-18;29;952;;GAVILANEZ BUENAÑO TRAJANO RUPERTO
707030;CONSTRUCTORA GAVILANEZ CONSTANTE GAVTRACON S.A.;1792730074001;ECUADOR;GERENTE;2019-11-05; ;2;2019-11-25;11;884;;GAVILANEZ BUENAÑO TRAJANO RUPERTO
725642;ECUAPULVEC CIA.LTDA.;1691726327001;ECUADOR;PRESIDENTE;2019-08-27; ;2;2019-08-29;29;115;;GAVILANEZ BUENAÑO TRAJANO RUPERTO
;;;;;;;;;;;;VILLAVICENCIO MEDINA MARYAN MERCEDES
;;;;;;;;;;;;ASOCIACION DE SERVICIOS DE LIMPIEZA VAMOS FLORESTA ASOSERVAF
;;;;;;;;;;;;CUENCA YEPEZ EDWIN VICENTE
;;;;;;;;;;;;XU WEIFENG
;;;;;;;;;;;;BETANCOURT CISNEROS VICTOR HUGO
;;;;;;;;;;;;CONSTRUCCIONES Y CUBIERTAS KLAERE CIA LTDA
;;;;;;;;;;;;VALERO GALARZA NELLY GENARA
;;;;;;;;;;;;SANTANA ROCA PAULINA KAHORY
;;;;;;;;;;;;PERALTA TAPIA ANA LUCIA
303328;CORPORACION MAD GU CORPORACIONMADGU S.A.;0992958340001;ECUADOR;PRESIDENTE;2016-01-28; ;5;2016-02-01;6;1150;;FUENTES JARA MIRYAM DORA
;;;;;;;;;;;;FRESENIUS KABI S.A
;;;;;;;;;;;;PALACIOS PAVON FREDDY ARTURO
;;;;;;;;;;;;CONSORCIO REACTIVACION PRODUCTIVA MANABI
;;;;;;;;;;;;SAMANIEGO TANDAZO BLADIMIR FELIX
;;;;;;;;;;;;PARRA ORTEGA HECTOR LUIS
;;;;;;;;;;;;ARAUJO GALLEGOS JOHANNA CAROLINA
;;;;;;;;;;;;INMOBILIARIA INTELCA CIA. LTDA.
;;;;;;;;;;;;HIDALGO VARGAS DANIEL SEBASTIAN
;;;;;;;;;;;;COMPAÑIA DE TRANSPORTE DE CARGA PESADA Y COMBUSTIBLES GONZALEZ CIA LTDA
;;;;;;;;;;;;SUAREZ PACHAY JENNY ELIZABETH
;;;;;;;;;;;;VANGUARDIA AL SERVICIO DEL CUIDADO HUMANO LABORATORIOS ECUADOR VASCH-LABS S A
;;;;;;;;;;;;JARAVITEX CIA LTDA
;;;;;;;;;;;;INGESA S.A.
303527;MMMSA MASTER MENTOR MONKEY S.A.;1792657709001;ECUADOR;GERENTE GENERAL;2016-03-09; ;5;2016-03-10;6;3299;;TOLEDO GUEVARA RAUL SANTIAGO
138306;IMPORGIFTS S.A.;1792311314001;ECUADOR;GERENTE GENERAL;2014-10-06; ;2;2014-10-06;24;14937;;TOLEDO GUEVARA RAUL SANTIAGO
;;;;;;;;;;;;CONSORCIO ECUATORIANO DE TELECOMUNICACIONES S.A. CONECEL
;;;;;;;;;;;;LEPICOV S.A.
;;;;;;;;;;;;ASOCIACION DE SERVICIOS DE LIMPIEZA QUITO COMPLEMENTO ASOLIMQUITO
;;;;;;;;;;;;CEDEÑO MACAY WILIAM DAVID
;;;;;;;;;;;;TRUJILLO CAJAMARCA JONATHAN EDUARDO
;;;;;;;;;;;;QUIMIS CHOEZ PEDRO PABLO
;;;;;;;;;;;;MAROTO ZAMORA FELIX MAURICIO
;;;;;;;;;;;;DISTRIBUIDORA COMERCIAL IMPERIUM
;;;;;;;;;;;;SANCHEZ FARIAS JASMIN DEL CARMEN
;;;;;;;;;;;;ESTACIO CACERES JOHNNY RAFAEL
721888;INGRIND PAMELA,VIVERES & CATERING VIVERES&CATERING S.A.;1391898398001;ECUADOR;PRESIDENTE EJECUTIVO;2019-02-07; ;5;2019-02-12;22;127;;HAPPE VILLA KAREN PAOLA
35500;HAPPE VILLA, SERVICIOS INMOBILIARIOS HAVISER CIA.LTDA;1391703619001;ECUADOR;GERENTE GENERAL;2018-12-04; ;2;2018-12-12;NNN;1241;;HAPPE VILLA KAREN PAOLA
;;;;;;;;;;;;TRIVIÑO HINOJOSA FRANCISCO ALEJANDRO
125928;WALDEM S.A.;0992496851001;ECUADOR;GERENTE GENERAL;2007-02-08; ;5;2007-02-14;11;3173;;VELEZ ALAVA JUAN CARLOS
;;;;;;;;;;;;QUIFATEX S.A.
;;;;;;;;;;;;CONSTRUCTORA CAMINERA CORREA CONTRERAS CORRECONTRE & ASOCIADOS S.A.
727667;B-GROUP OCEAN CHARGE B-GROUPOCEAN C.LTDA.;0993248835001;ECUADOR;PRESIDENTE;2019-12-27; ;2;2020-01-23;16;1094;;BAQUE MERCHAN TEOFILO ERASMO
306017;COMERCIALIZADORA BRALEN ECUADOR MEDIBRALEN S.A.;0993011533001;ECUADOR;PRESIDENTE;2017-01-23; ;5;2017-01-26;6;852;;BAQUE MERCHAN TEOFILO ERASMO
;;;;;;;;;;;;GONZALEZ VIVEROS CLAUDIA PATRICIA
;;;;;;;;;;;;ASOCIACION DE SERVICIOS LIMPIEZA ROIS CLEANING  ASORISCLEAN
;;;;;;;;;;;;PINARGOTE DELGADO MARIUXY ELIZABETH
;;;;;;;;;;;;CEDEÑO MARTINEZ CARLOS XAVIER
;;;;;;;;;;;;ISOLATOT S. A.
717438;ADMINASES S.A.;0993095087001;ECUADOR;PRESIDENTE;2019-02-18; ;5;2019-02-21;9;152;;AGUIRRE PALACIOS ERNA MARIA
100299;NORDICAPITAL S.A.;0992113707001;ECUADOR;PRESIDENTE;2018-03-07; ;5;2018-03-07;7;3039;;AGUIRRE PALACIOS ERNA MARIA
129837;BERVATOV S.A.;0992549335001;ECUADOR;GERENTE GENERAL;2012-04-10; ;5;2012-04-11;27;6220;;AGUIRRE PALACIOS ERNA MARIA
116035;SISTEMA GLOBAL INTEGRADO S.G.I. CIA. LTDA.;0992358785001;ECUADOR;PRESIDENTE;2004-07-14; ;5;2004-07-15;12;12726;;AGUIRRE PALACIOS ERNA MARIA
115506;KAPRO S.A.;0992351721001;ECUADOR;PRESIDENTE;2004-06-25; ;5;2004-06-28; ;11466;;AGUIRRE PALACIOS ERNA MARIA
;;;;;;;;;;;;CORPORACION MARCA IMPORTACIONES
;;;;;;;;;;;;CEPEDA CORTEZ JAIME MARCELO
;;;;;;;;;;;;BRAVO PINARGOTE DAMARYS FERNANDA
315581;ASESORES FINANCIEROS MESCH C.A.;0993226238001;ECUADOR;GERENTE GENERAL;2019-09-12; ;5;2019-09-18;6;8653;;PERALTA SOLIS LEILA DEL PILAR
;;;;;;;;;;;;MOSQUERA ARROYO PATRICIO MANUEL ALBERTO
;;;;;;;;;;;;NARANJO NENGER RUTH ESPERANZA
;;;;;;;;;;;;ANDRADE ARMIJOS CARLOS ANDRES
;;;;;;;;;;;;MUÑOZ NARANJO DIEGO ALEJANDRO
;;;;;;;;;;;;INDURA ECUADOR S.A.
;;;;;;;;;;;;MARTINEZ MAYORGA MARIELA PIEDAD
;;;;;;;;;;;;KAWSUS CIA LTDA
;;;;;;;;;;;;GORDON VENEGAS MARIA ANTONIETA
;;;;;;;;;;;;SALGADO BARRENO ANGGIE MARGARITA
;;;;;;;;;;;;RAURA RUIZ DOLORES DEL ROSARIO
;;;;;;;;;;;;VELASCO DACTO JUAN JOSE
;;;;;;;;;;;;CRUZ PIEDRA WILMAN ANTONIO
728796;CONSTRUCTORA JIMEZGAR CIA.LTDA.; ;ECUADOR;GERENTE GENERAL;2020-06-09; ;2;2020-06-10;32;92;;JIMENEZ DAVILA ELIAS NAUN
;;;;;;;;;;;;HEREDIA LOPEZ EMILIO JOSE
;;;;;;;;;;;;GARCES CORTEZ PABLO JAVIER
165191;IOFALE S.A.;0992913347001;ECUADOR;PRESIDENTE;2012-10-23; ;5;2012-10-25;10;19362;;MUÑOZ CATUTO JOFFRE MIGUEL
;;;;;;;;;;;;BENSALPROVI CIA LTDA
;;;;;;;;;;;;SIGMA HEALTH DEL ECUADOR SIGMAHEALTH CIA. LTDA.
726835;CEREZOEXPORT S.A.;1391910495001;ECUADOR;PRESIDENTE;2019-11-20; ;5;2019-11-28;21;175;;LOAIZA ROSADO VANESSA ELIZABETH
;;;;;;;;;;;;IPIALES ALDAS LORENA DEL ROCIO
;;;;;;;;;;;;LIFEPHARMA CIA. LTDA.
;;;;;;;;;;;;UBILLUS GUTIERREZ LUIS ANTONIO
119460;FERMIGIN S.A.;0992407484001;ECUADOR;GERENTE GENERAL;2015-02-09; ;5;2015-02-09;27;1728;;BARRERA MURILLO GINO RONALD
;;;;;;;;;;;;GOMEZ MORALES MILTON EUGENIO
;;;;;;;;;;;;AREVALO BRAVO NANCY YOLANDA
;;;;;;;;;;;;SARZOSA BONILLA NICOLAY OMAR
;;;;;;;;;;;;PARRA TRELLES MAYRA GABRIELA
;;;;;;;;;;;;GLAXOSMITHKLINE ECUADOR S A
;;;;;;;;;;;;MEDINA LLERENA ROSARIO ANDREA
32983;HORMICAVI CIA. LTDA.;0391003785001;ECUADOR;GERENTE;2019-01-16; ;2;2019-01-18;24;135;;CARRASCO VINTIMILLA PETER PAUL
;;;;;;;;;;;;PARRALES TORRES ROBERTO GENARO
87152;MANTENIMIENTO, ASESORAMIENTO Y CONSTRUCCION DE REDES IOPLANT CIA. LTDA.;1791410807001;ECUADOR;PRESIDENTE;2012-06-07; ;2;2012-06-15;30;8134;;TORRES VILLAGOMEZ ANDRES FERNANDO
117186;MEGABIENES S.A.;0992376252001;ECUADOR;PRESIDENTE;2004-11-24; ;5;2004-12-24; ;23210;;TORRES VILLAGOMEZ ANDRES FERNANDO
;;;;;;;;;;;;BUNCES CASQUETE ROBERTO ESTEFANO
;;;;;;;;;;;;URUBURU GOMEZ MARCELA
;;;;;;;;;;;;RUIZ RODAS OMAR VICENTE
;;;;;;;;;;;;SANCHEZ SANCHEZ JHON PATRICIO
148912;IMPORLAZO CIA. LTDA.;0190384608001;ECUADOR;GERENTE;2012-08-05; ;5;2012-08-15;14;1775;;LAZO MARTINEZ MARIA MANUELA
142646;LAZO LAZO & SANTACRUZ CIA. LTDA.;0190378152001;ECUADOR;GERENTE;2011-10-10; ;5;2011-11-09;16;2185;;LAZO MARTINEZ MARIA MANUELA
;;;;;;;;;;;;LAMAN MALDONADO ANGELA DAYANA
723669;CORPORACIÓN MARCA-IMPORTACIONES S.A.;0993203319001;ECUADOR;GERENTE GENERAL;2019-05-23; ;5;2019-05-27;27;6819;;CAJAS BOHORQUEZ JOSE MARCELO
723674;CORPORACIÓN-MARCA CONSTRUCCIONES S.A.;0993203548001;ECUADOR;GERENTE GENERAL;2019-05-23; ;5;2019-05-27;27;6831;;CAJAS BOHORQUEZ JOSE MARCELO
;;;;;;;;;;;;GALARRAGA TAMAYO CARLOS ROBERTO
;;;;;;;;;;;;ALMEIDA BARCIA RICHARD DAVID
;;;;;;;;;;;;BONILLA REINADO RONNY FERNANDO
;;;;;;;;;;;;ZAMBRANO ZAMBRANO CLEYTON ELIECER
;;;;;;;;;;;;FOODIE LAB
;;;;;;;;;;;;DURAN OJEDA FRANK GERMANICO
;;;;;;;;;;;;ERAZO TORTORELLA MARIA MERCEDES
;;;;;;;;;;;;LARA PONCE ARTURO
179711;EXPERIENCIA EXTREMA S.A. CACESA;1391818033001;ECUADOR;LIQUIDADOR;2020-06-30; ; ;2020-07-07;23;359;;CEDEÑO RIVAS ORLANDO FABIAN
141031;FERRETERIA FABIAN CEDEÑO CIA. LTDA. FERREFABIAN;1391787510001;ECUADOR;GERENTE GENERAL;2019-07-22; ;3;2019-07-26;15;423;;CEDEÑO RIVAS ORLANDO FABIAN
141031;FERRETERIA FABIAN CEDEÑO CIA. LTDA. FERREFABIAN;1391787510001;ECUADOR;GERENTE GENERAL;2015-04-07; ;3;2015-05-11;15;263;;CEDEÑO RIVAS ORLANDO FABIAN
;;;;;;;;;;;;FARLAB S. A.
714108;CONSTRUCTORA INMOBILIARIA & MULTISERVICIOS CIMULT S.A.;0891762127001;ECUADOR;GERENTE GENERAL;2017-09-01; ;2;2017-09-08;21;318;;ESTACIO CACERES DIEGO BYRON
61039;COMPAÑIA CACEST CONSTRUCTORA CIA. LTDA.;0891729642001;ECUADOR;PRESIDENTE;2017-08-30; ;2;2017-10-02;22;347;;ESTACIO CACERES DIEGO BYRON
179901;TRANSPORTE PESADO ESTACIO CACERES PETRANSEC SOCIEDAD ANONIMA;0891744846001;ECUADOR;PRESIDENTE;2016-06-30; ;2;2016-08-02;20;205;;ESTACIO CACERES DIEGO BYRON
;;;;;;;;;;;;LOPEZ CARDENAS VICTOR HUGO
;;;;;;;;;;;;OCHOA MACHUCA JUAN PABLO
;;;;;;;;;;;;FRISONEX FRISON IMPORTADORA EXPORTADORA CIA. LTDA.
;;;;;;;;;;;;LAB QUALITY S.C.C.
;;;;;;;;;;;;YAGUANA TORRES DIANA MARYZEL
;;;;;;;;;;;;MOLINA CARLOS EDUARDO
;;;;;;;;;;;;PROCONSUR PROYECTOS Y CONSTRUCCIONES S.A.
;;;;;;;;;;;;COMPANIA LIMITADA FAMEDIC
;;;;;;;;;;;;INDUSTRIA DE PLASTICOS SANTOS ORTEGA E HIJOS CIA. LIMITADA
;;;;;;;;;;;;BRITO CABRERA MARIA FERNANDA
;;;;;;;;;;;;CARVALLO NICOLALDE MIGUEL ANDRES
;;;;;;;;;;;;PUGO PAUTA LAURO HELIODORO
719468;MOLINOS DEL SUR MDSSA S.A.;1792902495001;ECUADOR;GERENTE GENERAL;2018-07-30; ;4;2018-08-08;25;28;;GUANGA ZAMBRANO JOSE LUIS
;;;;;;;;;;;;VECILLA CHANCAY JENNIFFER SOFIA
;;;;;;;;;;;;METROCAR S.A.
;;;;;;;;;;;;VEGA ESPINOZA HERNAN JAVIER
;;;;;;;;;;;;FRANCO RODRIGUEZ ALEX GREGORIO
;;;;;;;;;;;;FLORES VERA EDISON ALFREDO
;;;;;;;;;;;;ASOCIACION DE PRODUCCION TEXTIL DISEÑANDO JUNTOS ASOPROTEXDIJUN
;;;;;;;;;;;;BASTIDAS BUSTAN DAVID TANCREDO
;;;;;;;;;;;;CONSTRUCTORA EMATEOSCONS CIA. LTDA
1701;COMPAÑIA DE ECONOMIA MIXTA CENTRO DE MERCADEO AGROPECUARIO CEMEAG;1890028515001;ECUADOR;PRESIDENTE;2019-08-29; ;2;2019-09-13;24;875;;VELA TORRES GALO FRANCISCO
;;;;;;;;;;;;GUANOPATIN TOLEDO RAFAEL ANTONIO
177110;GREENKA S.A.;0992857927001;ECUADOR;GERENTE GENERAL;2020-05-29; ;2;2020-06-02;30;5128;;SANCHEZ AGUIRRE LUZ MARINA
;;;;;;;;;;;;LOZADA LOPEZ WILSON JOSELITO
;;;;;;;;;;;;DEVIES CORP S.A.
;;;;;;;;;;;;ASOCIACION DE PRODUCCION TEXTIL LUZ ABRIENDO UN NUEVO CAMINO ASOPROLUZCA
;;;;;;;;;;;;ZERASAMIZ S.A.
;;;;;;;;;;;;MENDOZA MUÑOZ MARY ARIANA
;;;;;;;;;;;;CORDOVA PINARGOTE ESTEFANIA DENIS
;;;;;;;;;;;;OCHOA GUERRERO CHRISTIAN FABIAN
;;;;;;;;;;;;MENDOZA DAZA LUIS MIGUEL
;;;;;;;;;;;;VIERA CORDOVA MARIA MONSERRATH
;;;;;;;;;;;;CHANGOLUISA CAIZA ALICIA SUSANA
;;;;;;;;;;;;LOAIZA TINOCO JUAN PABLO
316323;CONCILEC CIA.LTDA.;0993239291001;ECUADOR;GERENTE GENERAL;2019-11-21; ;5;2019-11-27;6;7639;;RODRIGUEZ GOMEZ STALYN DAVID
;;;;;;;;;;;;SANTANA ANDRADE MARIA CRISTINA
;;;;;;;;;;;;SAENZ CONDO BYRON EFRAIN
;;;;;;;;;;;;ORTIZ GUZMAN FRANKLIN ARTURO
;;;;;;;;;;;;RODRIGUEZ VINUEZA PAOLA ELIZABETH
60197;AEROSERVICIOS DEL ECUADOR MB&F S.A.;1792252903001;ECUADOR;GERENTE GENERAL;2016-09-13; ;3;2016-09-23;13;14174;;PROAÑO OÑA MARCO ANTONIO
;;;;;;;;;;;;LIZANO TORRES DANIEL EFRAIN
;;;;;;;;;;;;MALIZA GUAYASAMIN PAOLA ESTEFANY
;;;;;;;;;;;;RODRIGUEZ PEÑAHERRERA VICTOR GERMAN
;;;;;;;;;;;;ASOCIACION DE SERVICIOS DE LIMPIEZA VARIOS AMIGOS DEL ECUADOR ASOLIMVAMEC
;;;;;;;;;;;;ZAMORA LOOR JANDRY XAVIER
;;;;;;;;;;;;MUÑOZ GILER MARIA NOHELIA
136351;VALCOMINSA S.A.; ;ECUADOR;GERENTE GENERAL;2009-12-30; ;5;2010-01-04;20;51;;VALVERDE RIASCOS HECTOR FABIO
;;;;;;;;;;;;CABRERA IZQUIERDO FAUSTO HERNAN
;;;;;;;;;;;;LUZON LANCHI HILDA PIEDAD
;;;;;;;;;;;;DIAZ GONZALEZ BIBIANA YISLEINY
181567;BIO-CHEMICAL S.A.;1391819714001;ECUADOR;GERENTE GENERAL;2014-07-09; ;2;2014-08-11;21;695;;MOREIRA VERA ROSA TRINIDAD
;;;;;;;;;;;;ANCHUNDIA GARCIA CARLOS LUIS
;;;;;;;;;;;;ZAPATA BAQUERO JUAN MANUEL
;;;;;;;;;;;;PAREDES PINEDA SEGUNDO GABRIEL
;;;;;;;;;;;;DISTRIBUIDORA INYECTABLES ECUADOR ECUAINYECTABLES CIA. LTDA
;;;;;;;;;;;;CHAVEZ CUENCA TATIANA ANAVELA
;;;;;;;;;;;;GARCIA FLORES CARLOS ULVIO
;;;;;;;;;;;;ANGULO FIGUEROA JESUS PAUL
311399;ECUABOTELLAS RECICLAJE C.A.;1792899729001;ECUADOR;GERENTE GENERAL;2019-02-27; ;5;2019-03-12;6;3780;;DEL POZO ROMAN GALO EDUARDO
;;;;;;;;;;;;GIMPROMED CIA. LTDA.
301468;VALOREMAD S.A.;1792584566001;ECUADOR;GERENTE GENERAL;2019-10-02; ;5;2019-10-31;6;17909;;RAMOS NAVARRO JORGE DANIEL
151839;POWERCLEAN S.A.;1791938178001;ECUADOR;PRESIDENTE;2004-06-18; ;4;2004-06-21;21;4632;;RAMOS NAVARRO JORGE DANIEL
;;;;;;;;;;;;INTRIAGO SALGADO MELINA LISBETH
;;;;;;;;;;;;ING. J. ESPINOSA Z. S. A.
;;;;;;;;;;;;QUIMI BAQUERIZO NICOLAS WASHINGTON
;;;;;;;;;;;;LOAYZA AVILES JOSE FERNANDO
;;;;;;;;;;;;PRADO MENDOZA SILVIA MONSERRATE
;;;;;;;;;;;;YAUCEN REMACHE ANGEL DAVID
60523;ECO DE QUEVEDO EQUERA S.A.;0992668679001;ECUADOR;GERENTE GENERAL;2018-08-13; ;5;2018-08-27;13;155;;ALVARADO ECHEVERRIA JOSE FRANCISCO
64087;RIGOLER S.A.; ;ECUADOR;GERENTE GENERAL;2011-12-05; ;5;2011-12-28; ;23274;;ALVARADO ECHEVERRIA JOSE FRANCISCO
131159;EDECER S.A.;0992569808001;ECUADOR;GERENTE GENERAL;2008-06-23; ;5;2008-06-24;13;12958;;ALVARADO ECHEVERRIA JOSE FRANCISCO
;;;;;;;;;;;;LARREA PERALTA JUAN SEBASTIAN
;;;;;;;;;;;;ZAMBRANO AGUILAR GABRIELA ALEXANDRA
;;;;;;;;;;;;PALACIOS ALVAREZ VILMA MARIA
;;;;;;;;;;;;MONTALVAN GOMEZ CESAR ANTONIO
;;;;;;;;;;;;CEDEÑO PINO MARIA JOSE
;;;;;;;;;;;;DISTRIBUIDORA DE MEDICAMENTOS DISPRESFARMA CIA. LTDA.
;;;;;;;;;;;;FLORES CRUZ EDWIN ISRAEL
309843;COMERCIALIZADORA HOSPITALARIA PHARMAHISPANA S.A.;0993088676001;ECUADOR;GERENTE GENERAL;2018-03-22; ;5;2018-03-26;6;3854;;LOPEZ TORRES NABIJ XAVIER
;;;;;;;;;;;;LEON VEGA HERNAN ALEXANDER
;;;;;;;;;;;;RODRIGUEZ EGAS WILLIAM MANUEL
;;;;;;;;;;;;PALACIOS BASURTO SANTO BENITO
;;;;;;;;;;;;MARLON LUIS CAMPOVERDE CAMPOVERDE
;;;;;;;;;;;;ASOCIACION DE PRODUCCION TEXTIL COCIENDO JUNTAS ASOPROTEXCOCI
;;;;;;;;;;;;LOZADA SALAS CARLOS HUMBERTO
;;;;;;;;;;;;VILLACRES ENDARA DIEGO ALEJANDRO
;;;;;;;;;;;;VACA ALCIVAR CARLOS RUBEN
;;;;;;;;;;;;LABORATORIOS CHALVER DEL ECUADOR CIA LTDA
168149;G&N CONSULTORES S.A.;0992803967001;ECUADOR;PRESIDENTE;2020-02-21; ;5;2020-06-09;27;5615;;GUERRA CABRERA NELSON GUILLERMO
168149;G&N CONSULTORES S.A.;0992803967001;ECUADOR;GERENTE GENERAL;2013-03-01; ;5;2013-03-06;27;4397;;GUERRA CABRERA NELSON GUILLERMO
113066;CONSULTORA INADPROY CIA. LTDA.;0992319321001;ECUADOR;GERENTE;2003-09-04; ;5;2003-09-10;15;16478;;GUERRA CABRERA NELSON GUILLERMO
;;;;;;;;;;;;GILER DELGADO JORGE LUIS
;;;;;;;;;;;;NARVAEZ RODAS FRANCO DANILO
;;;;;;;;;;;;MORA MORAN CAROLINA DE JESUS
;;;;;;;;;;;;IZAGUIRRE MACIAS LUIS ALBERTO
;;;;;;;;;;;;LOMBARDI-ANDINA S A
;;;;;;;;;;;;LOPEZ AVILES PAUL ROMEO
;;;;;;;;;;;;CHALA ROJAS CESAR FERNANDO
725456;FRANCISCO PALACIOS RIVADENEIRA FPR CIA.LTDA.; ;ECUADOR;GERENTE GENERAL;2019-08-15; ;2;2019-08-21;20;13964;;PALACIOS RIVADENEIRA FRANCISCO XAVIER
;;;;;;;;;;;;CAÑAR CAÑAR LUIS GUILLERMO
;;;;;;;;;;;;CAÑOTE JAIME PATRICIO RUBEN
134692;INGENIERIA Y DESARROLLO SOSTENIBLE INGDES CIA. LTDA.; ;ECUADOR;LIQUIDADOR;2014-07-22; ; ;2014-07-23; ;9736;;ZANABRIA VILLAMAR FERNANDO ENRIQUE
;;;;;;;;;;;;"ASOCIACION DE SERVICIOS DE COMERCIALIZACION LIDAXA ""ASOLIDAXA"""
;;;;;;;;;;;;VERA TAPIA BETHY JOHANNA
;;;;;;;;;;;;GRUBALUZON CIA. LTDA.
311177;TEPLASOC S.A.;1792892708001;ECUADOR;GERENTE GENERAL;2019-09-02; ;4;2019-09-26;6;15976;;GALLARDO CASTILLO EDISON FABRICIO
;;;;;;;;;;;;DAVILA VASQUEZ JUAN FERNANDO
;;;;;;;;;;;;ARMIJOS BERRU MARICELA PATRICIA
;;;;;;;;;;;;AGUACHELA RUMIGUANO DINA PIEDAD
317237;SUPERMERCADOFERPLAST CIA.LTDA.;1891799345001;ECUADOR;GERENTE GENERAL;2020-02-20; ;5;2020-02-21;6;267;;ROMERO BRAVO JAIME DANILO
722888;PRODUCTORA Y COMERCIALIZADORA DE FRUTAS. VCR INTERNACIONAL PRODUCTORAVCR CIA.LTDA.;1691725711001;ECUADOR;GERENTE;2019-04-05; ;2;2019-04-11;25;35;;ROMERO BRAVO JAIME DANILO
;;;;;;;;;;;;GUARACA HUARACA DIEGO DARIO
;;;;;;;;;;;;TIPANGUANO GAMBOY JORGE SEBASTIAN
;;;;;;;;;;;;PUMA PASATO NELLY CECILIA
;;;;;;;;;;;;MURGUEITIO SERRANO JENNY MISHELL
;;;;;;;;;;;;JIMBO RIOS ROCIO DEL CARMEN
;;;;;;;;;;;;EMPRESA UNIVERSITARIA DE SALUD EP EUS-EP
;;;;;;;;;;;;EMPRESA DE TRANSPORTE FLUVIAL BUSTOS& ASOCIADOS GRUPO- BYLDEG C.A.
;;;;;;;;;;;;YEPEZ ESTUPIÑAN JORGE LUIS
;;;;;;;;;;;;INTRIAGO AVILA DIANA ISABEL
318039;ASIA RD STRATEGY R&DCORP C.L.;1793066305001;ECUADOR;GERENTE GENERAL;2020-06-24; ;5;2020-06-25;6;7585;;PEÑA ESPIN DANIELA ELIZABETH
;;;;;;;;;;;;BAEZ EGAS MANUEL RAMIRO
;;;;;;;;;;;;DISTRIBUIDORA MOLINA EL TAMBO DISMOLINA CIA. LTDA
;;;;;;;;;;;;SALVATIERRA INTRIAGO GLORIA RAMONA
;;;;;;;;;;;;VILLACIS MARTINEZ WILMER VICENTE
;;;;;;;;;;;;LEMA VEGA VINICIO XAVIER
